sample_id,domain,noise_level,wer,cer,correct,error_type,ground_truth,corrected_text
0,commands,loud,1.0000,0.1111,False,punc_only,"给我妈妈打个电话。","给我妈妈打个电话"
1,commands,medium,1.0000,0.1111,False,punc_only,"调高电视机的音量。","调高电视机的音量"
2,news,medium,1.0000,0.0667,False,punc_only,"今天上午国务院召开新闻发布会。","今天上午国务院召开新闻发布会"
3,commands,medium,1.0000,0.1250,False,punc_only,"播放下一首歌曲。","播放下一首歌曲"
4,english,soft,1.4000,0.3182,False,general_error,"安装 Node.js 和 npm 包管理器。","安装 note j s 和 n p m 包管理器"
5,english,medium,1.2000,0.4500,False,general_error,"用 Python 读取 JSON 文件。","用 python 读取 j s o m 文件"
6,numbers,clean,1.0000,0.0526,False,punc_only,"我的电话号码是一三八幺二三四五六七八。","我的电话号码是一三八幺二三四五六七八"
7,names,soft,1.0000,0.0833,False,punc_only,"苹果公司的市值全球第一。","苹果公司的市值全球第一"
8,names,clean,1.0000,0.1000,False,punc_only,"杭州西湖的风景真美。","杭州西湖的风景真美"
9,tech,clean,1.0000,0.0556,False,punc_only,"测试覆盖率需要提升到百分之八十以上。","测试覆盖率需要提升到百分之八十以上"
10,daily,soft,1.0000,0.1250,False,punc_only,"这个电影非常精彩，推荐大家去看。","这个电影非常精彩推荐大家去看"
11,numbers,clean,1.0000,0.1000,False,punc_only,"股票涨了百分之十五。","股票涨了百分之十五"
12,english,soft,0.6667,0.1500,False,general_error,"把文件上传到 Google Drive。","把文件上传到 google drive"
13,english,medium,1.0000,0.7083,False,general_error,"访问 192.168.1.1 这个 IP 地址。","访问幺九二点幺六八点幺点幺这个 i p 地址"
14,numbers,soft,1.0000,0.0667,False,punc_only,"总价是九千九百九十九块九毛九。","总价是九千九百九十九块九毛九"
15,daily,clean,1.0000,0.1429,False,punc_only,"我想喝一杯咖啡，要不要一起？","我想喝一杯咖啡要不要一起"
16,tech,soft,1.0000,0.4400,False,general_error,"我在用 Python 写 REST API 接口。","我在用 python 写 rest a p i 接口"
17,numbers,clean,1.0000,0.0833,False,punc_only,"快递单号以九四三二开头。","快递单号以九四三二开头"
18,daily,clean,1.0000,0.1333,False,punc_only,"晚上吃什么好呢，火锅还是烧烤？","晚上吃什么好呢火锅还是烧烤"
19,numbers,medium,1.0000,0.0909,False,punc_only,"收到转账一万两千元整。","收到转账一万两千元整"
20,numbers,loud,1.0000,0.0909,False,punc_only,"体重是六十八点五公斤。","体重是六十八点五公斤"
21,commands,medium,1.0000,0.0833,False,punc_only,"把空调温度调到二十六度。","把空调温度调到二十六度"
22,names,clean,1.0000,0.0714,False,punc_only,"上海浦东机场今天航班延误了。","上海浦东机场今天航班延误了"
23,commands,clean,1.0000,0.1429,False,punc_only,"关掉客厅的灯。","关掉客厅的灯"
24,english,loud,1.0000,0.7273,False,general_error,"用 Docker 跑一个 MySQL 容器。","用刀号跑一个 mar as k容器"
25,names,medium,1.0000,0.0833,False,punc_only,"特朗普和拜登进行了辩论。","特朗普和拜登进行了辩论"
26,daily,medium,1.0000,0.1667,False,punc_only,"记得带伞，今天下午有雨。","记得带伞今天下午有雨"
27,tech,loud,0.6667,0.3333,False,general_error,"用 Redis 做缓存层效果好很多。","用 e 做缓层层效果好很多"
28,tech,clean,0.6000,0.2308,False,general_error,"需要修复 Git 的 merge conflict。","需要修复 get  the merge conflict"
29,tech,medium,1.2500,0.3333,False,general_error,"API 文档用 Swagger 自动生成。","a p i 文档用 swagger 自动生成"
30,commands,loud,1.0000,0.1111,False,punc_only,"帮我叫一辆出租车。","帮我叫一辆出租车"
31,names,soft,1.0000,0.1176,False,punc_only,"李明和王小红去看了张艺谋的新电影。","李明和王晓红去看了张艺谋的新电影"
32,daily,loud,1.0000,0.1818,False,punc_only,"你好，请问这个怎么走？","你好请问这个怎么走"
33,commands,clean,1.0000,0.1000,False,punc_only,"导航去最近的加油站。","导航去最近的加油站"
34,news,loud,1.0000,0.0769,False,punc_only,"医疗卫生体制改革持续深化。","医疗卫生体制改革持续深化"
35,english,loud,0.6667,0.1176,False,general_error,"登录 iCloud 账号同步数据。","登录 icloud 账号同步数据"
36,names,medium,1.0000,0.0833,False,punc_only,"刘德华和周杰伦开演唱会。","刘德华和周杰伦开演唱会"
37,tech,loud,1.0000,0.3889,False,punc_only,"这个 bug 很难复现，需要加日志。","这个半很难复现需要加日志"
38,commands,medium,1.0000,0.1000,False,punc_only,"帮我打开音乐播放器。","帮我打开音乐播放器"
39,news,soft,1.0000,0.0909,False,punc_only,"文化产业发展势头强劲。","文化产业发展势头强劲"
40,names,loud,1.0000,0.0909,False,punc_only,"去成都要吃火锅和兔头。","去成都要吃火锅和兔头"
41,daily,medium,1.0000,0.1111,False,punc_only,"周末有什么计划吗？","周末有什么计划吗"
42,english,soft,1.0000,0.3333,False,general_error,"下载 VS Code 编辑器。","下载 v s code 编辑器"
43,daily,clean,1.0000,0.0833,False,punc_only,"路上堵车可能要晚一点到。","路上堵车可能要晚一点到"
44,tech,soft,2.5000,0.6000,False,general_error,"MySQL 数据库性能有点慢。","my s q l 数据酷性能有点慢"
45,news,soft,1.0000,0.0909,False,punc_only,"社会保障体系不断完善。","社会保障体系不断完善"
46,news,soft,1.0000,0.0714,False,punc_only,"房地产市场调控政策效果显现。","房地产市场调控政策效果显现"
47,names,soft,1.0000,0.0769,False,punc_only,"阿里巴巴和腾讯都是大公司。","阿里巴巴和腾讯都是大公司"
48,numbers,clean,1.0000,0.1538,False,punc_only,"体温是三十六点六度，正常。","体温是三十六点六度正常"
49,news,medium,1.0000,0.0769,False,punc_only,"环境保护工作取得积极成效。","环境保护工作取得积极成效"
50,daily,loud,1.0000,0.1176,False,punc_only,"这本书很有意思，我已经看了三遍了。","这本书很有意思我已经看了三遍了"
